,Provincias,Ramas de actividad,periodo,Total
77,04 Almería,C. - De las cuales: Industria manufacturera,2019,996.328
78,04 Almería,F. Construcción,2021,723.957
79,04 Almería,F. Construcción,2020,648.214
80,04 Almería,F. Construcción,2019,774.405
81,04 Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,3.793.774
82,04 Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,3.232.834
83,04 Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,4.017.874
84,04 Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2.816.431
85,04 Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.687.981
86,04 Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.726.384
87,04 Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3.041.318
88,04 Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2.937.782
89,04 Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3.007.440
90,04 Almería,Valor añadido bruto total,2021,14.167.865
91,04 Almería,Valor añadido bruto total,2020,13.328.813
92,04 Almería,Valor añadido bruto total,2019,14.342.459
93,04 Almería,Impuestos netos sobre los productos,2021,1.491.757
94,04 Almería,Impuestos netos sobre los productos,2020,1.278.257
95,04 Almería,Impuestos netos sobre los productos,2019,1.471.474
96,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,15.659.622
97,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14.607.070
98,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,15.813.933
99,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.939.983
100,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.731.451
101,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.813.401
102,01 Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",2021,201.362
103,01 Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",2020,189.557
104,01 Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",2019,212.839
105,01 Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3.832.143
106,01 Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3.388.952
107,01 Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3.781.684
108,01 Araba/Álava,C. - De las cuales: Industria manufacturera,2021,3.473.573
109,01 Araba/Álava,C. - De las cuales: Industria manufacturera,2020,3.145.920
110,01 Araba/Álava,C. - De las cuales: Industria manufacturera,2019,3.588.690
111,01 Araba/Álava,F. Construcción,2021,400.677
112,01 Araba/Álava,F. Construcción,2020,429.096
113,01 Araba/Álava,F. Construcción,2019,518.235
114,01 Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1.946.392
115,01 Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1.669.800
116,01 Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1.961.560
117,01 Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2.434.844
118,01 Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.327.165
119,01 Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.392.190
120,01 Araba/Álava,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2.891.885
121,01 Araba/Álava,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2.700.268
122,01 Araba/Álava,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2.754.616
123,01 Araba/Álava,Valor añadido bruto total,2021,11.707.303
124,01 Araba/Álava,Valor añadido bruto total,2020,10.704.838
125,01 Araba/Álava,Valor añadido bruto total,2019,11.621.124
126,01 Araba/Álava,Impuestos netos sobre los productos,2021,1.232.680
127,01 Araba/Álava,Impuestos netos sobre los productos,2020,1.026.613
128,01 Araba/Álava,Impuestos netos sobre los productos,2019,1.192.277
129,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.939.983
130,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.731.451
131,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.813.401
132,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23.549.659
133,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21.319.148
